question_id,question_text,specialty
5676841c-e084-45dd-a0f0-9bc018bf97ad,"What is the next step in management for a patient with Stage IIB triple-negative breast cancer (cT2, cN0, cM0, G3) whose chemotherapy was delayed due to ANC of 0.9 during cycle 2, and whose ANC remains low at 0.8 one week later?",Oncology / Hematology
58a110a9-44d5-49c0-b073-522df3ec04d0,What MRI findings help differentiate infectious discitis from other causes of disc space abnormality?,Radiology
5aac9b27-26a0-43c1-a79f-d3dd9326f96f,Management of hypersensitivity reaction,Allergy & Immunology
642e9992-c245-4da6-831f-94793153a81c,What are the differences between plasmapheresis and continuous renal replacement therapy?,Nephrology
647eb9c0-27d0-49dd-abad-4a36b045b19d,Can beta blockers worsen or trigger Raynaud's phenomenon?,Rheumatology
68edcc22-362b-46bd-bdb0-fd6078567592,"Is the somatic mutational burden of differentiated thyroid cancer comparably low to that seen in pediatric malignancies, and if so, what is the supporting reference?",Oncology / Hematology
6950b9bc-3133-4226-b72b-3baf4945b409,Is there evidence supporting an HbA1c target of 7-8% in older adults for the purpose of reducing stroke risk?,Endocrinology
6ce73442-794e-4a4b-832f-84ee05470941,What is the dosing of N-acetylcysteine for the treatment of neurotic excoriations?,Dermatology
6ead6fa5-2418-4170-bf16-55fce29c38f0,"What is the appropriate antibiotic regimen for a suspected central line-associated bloodstream infection in a 36-year-old female with a history of Pseudomonas bacteremia, endocarditis, and TPN dependence, who has a penicillin allergy but has previously tolerated cephalosporins without issue?",Infectious Disease
730bc013-2f40-4090-9b88-257bed19b5fa,How can steroid-induced myopathy be distinguished from immune-mediated myopathy using EMG findings?,Neurology
76ec2dc6-7747-4627-a15a-b7ac82970520,What is the recommended approach to gradually discontinue citalopram 40mg after being on it for a decade?,Psychiatry
786b5335-a700-413a-bb8d-da6bc778f04f,What is the evidence supporting the use of GLP-1 receptor agonists in the management of post-bariatric surgery hypoglycemia?,Endocrinology
78811f60-4f3d-46a5-883d-37e0d8de0350,What is the appropriate next step in monitoring a 55-year-old female with a 1 cm pituitary adenoma and prolactin level of 129.4 who has been on cabergoline 0.25 mg twice weekly for 6 weeks?,Endocrinology
79cfe10c-b7bf-4ca3-b165-fa4e3642795c,Elevated lipoprotein(a) levels in East Asian populations.,Cardiology
7cf6f25a-5121-44fb-8700-e7f258e8af98,What is the diagnostic evaluation for postprandial hypoglycemia?,Endocrinology
7d8d0deb-b36d-4799-8981-d52b14046880,Is there a known drug interaction between anastrozole and terbinafine?,Oncology / Hematology
8081744d-7dab-4ce1-b7ae-6988e7556e50,Should a patient with recently diagnosed pyelonephritis who has been on ceftriaxone and one day of cefpodoxime but is now presenting with worsening symptoms be continued on ceftriaxone or should antibiotic coverage be escalated?,Infectious Disease
818e368b-9595-42e9-bf1c-6a41a74d3f47,Is an IgG level of 1.7 sufficient to diagnose Guillain-Barré syndrome?,Neurology
8191019b-fa39-4b92-a868-febb885b9c7a,"How would you carry out a progestin challenge test in a 21-year-old presenting with secondary amenorrhea (absent menses for 6 months), a normal LH level, and an estradiol level below 30 pg/mL?",OB / GYN
8849edd2-b921-49e7-ad1f-b5224165f0a6,Management of diffuse esophageal spasm,Gastroenterology
890aa5dc-8c0b-49d0-8b71-235b7952c466,When can a patient with rheumatoid arthritis on tocilizumab resume the medication following a bone marrow biopsy done as part of a multiple myeloma workup?,Rheumatology
8b83a841-253a-4d25-98ee-109ae07f5141,"What are the potential hazards and drawbacks of elevated coronary thrombus burden and its percutaneous removal via thrombectomy, including technical limitations of existing devices and the adverse outcomes that may paradoxically result from the procedure?",Cardiology
8cd4efb6-44cb-4c5b-96df-a9b26422daa9,Can adriamycin lead to the development of myocarditis?,Oncology / Hematology
8d64bde2-0d15-41e1-b4fc-bdd7cd2a2c9e,"How do I professionally and legally communicate to a difficult, verbally aggressive cancer patient that I am terminating our therapeutic relationship and transferring her care to another provider?",Oncology / Hematology
8e7913d6-d335-4e68-a5c5-37fe0d15dde8,"What is the allergic cross-reactivity profile among aspirin, ibuprofen, and acetaminophen?",Allergy & Immunology
900ea1a4-a512-47a7-a06b-1906b0b25798,How do you differentiate grade 2 from grade 3 diastolic dysfunction on echocardiography?,Cardiology
9156bbf1-ee52-4a99-9da5-de700f883b5c,What hematocrit level greater than 30 in a vascular wound indicates?,Surgery
953c79e2-48c9-47cc-a6a6-8eb6236c46d5,At what threshold of alkaline phosphatase elevation would posaconazole-induced hepatotoxicity warrant close monitoring versus requiring intervention or discontinuation of the drug?,Infectious Disease
96d3c58d-c095-4a6b-bdfd-8427e6441bbc,What finding on bicycle exercise stress echocardiography measurement of pulmonary artery pressure is diagnostic of HFpEF?,Cardiology
96d8a8cc-2e16-44df-a30a-24d358dc5af3,"How long should antibiotics be continued for an infected ingrown toenail that is resolving following nail avulsion, given that the patient has already completed 5 days of amoxicillin-clavulanate followed by 7 days of cephalexin with no wound cultures obtained?",Family Medicine
985c8362-cfee-4ecb-bbb7-76e1181e2052,"46 year old female with history of premature ovarian insufficiency diagnosed at age 36. Was on hormone replacement therapy briefly in her late 30s then discontinued. Now presenting with vertebral osteoporosis, T-score -2.6.

Recently restarted on estradiol patch 0.05 mg twice weekly and micronized progesterone 100 mg nightly. Initiated bisphosphonate therapy with alendronate 70 mg once weekly approximately three weeks ago.",Endocrinology
9b1a4758-2998-48d4-8622-cd8eee6b8424,"What are the NPO requirements prior to procedural (deep) sedation for solids, non-clear liquids, clear liquids, and water?",Anesthesiology
a1b4263c-ce32-4dd9-b527-546fae55dad5,What is the clinical significance of a positive serum PCR result for HSV-2?,Infectious Disease
a307ecd3-8b12-458f-9a46-d92d6d6dd77e,What are the pH levels seen in mixed HHS and DKA?,Endocrinology
a686b2b7-449b-4051-903f-95f354b8ee75,"Is transjugular liver biopsy with hepatic venous pressure gradient measurement necessary in a patient with a history of alcohol use, mildly elevated liver enzymes, ZZ alpha-1 antitrypsin deficiency, normal MR elastography, normal platelet count, and normal liver ultrasound who is undergoing evaluation for lung transplantation?",Transplantation
a8af8cf1-9aa3-4d34-b394-81c56de4f34f,Are there any reported cases of urticarial vasculitis following rilonacept administration for chronic spontaneous urticaria?,Dermatology
abffccdc-6b6e-47c5-91ce-f6ea80cc3097,Is vancomycin and cefepime sufficient antibiotic coverage for a duodenal perforation?,Surgery
ac51f7e3-f29a-4058-8065-e8e0e555d655,How can panic attacks be managed at home?,Psychiatry
ae46bee7-30c2-4bed-bbe5-007f54101465,Should a 20-year-old presenting with new stretch marks on the legs but no change in body weight undergo further evaluation?,Family Medicine
b1099d8e-8795-40a7-ac53-cfea4cba2eb7,What laboratory test is used to evaluate for specific antibody deficiency?,Allergy & Immunology
b1feb93d-6c48-42fd-8108-f5d077787541,"What is the role of orexin in insomnia, and which FDA-approved drugs targeting this system are used for treatment?",Psychiatry
b4196982-9a4c-4de8-b2d6-58157ec49854,"What is the appropriate management for a 70-year-old male receiving pembrolizumab for lung cancer who presents with gallbladder wall thickening, pericholecystic fluid, an elevated lipase of 600, and a gallstone seen on imaging?",Oncology / Hematology
b42a274a-6131-4ade-aecb-63307cb24ad7,What is the evidence supporting the use of memantine in managing anxiety symptoms among individuals with dementia?,Neurology
b58d359e-6bda-41de-aa65-b912804491ad,What could be responsible for a massive right hemothorax discovered during resuscitation of a 60-year-old woman undergoing hysterectomy for an ovarian mass who develops sudden cardiac arrest at the conclusion of the procedure with no apparent external hemorrhage?,Surgery
b8490878-7890-4935-b29d-7bb0e83703b7,What is the appropriate dosing and timing protocol for indocyanine green administration when evaluating free flap perfusion during head and neck reconstruction using the Leica microscope?,Surgery
b8e77a45-ea26-4c57-b156-b33a28d93878,What is the management of atypical ductal hyperplasia of the breast?,Surgery
b9fe2253-4f5c-4891-99af-2020bd6a7220,What is the diagnostic evaluation for gingival enlargement?,Dermatology
ba5ee80f-e041-45fc-ad96-062c55f1be58,What is the clinical significance of a stable 5 mm arterially enhancing hepatic lesion in a patient with a history of metastatic pancreatic neuroendocrine tumor?,Oncology / Hematology
bd4bb448-0e7f-40a6-a90e-fc4134010942,Should you take magnesium daily or only as needed for muscle cramps?,Family Medicine
be663bf0-f714-4935-a3e1-3aa4db45450a,Which antiarrhythmic agents are safe to use in patients with prolonged QT interval?,Cardiology
beac65ee-72dd-4271-b9a0-62f8eeb465ca,Should Strensiq be considered appropriate therapy in a postmenopausal woman diagnosed with hypophosphatasia who also has concurrent osteoporosis?,Endocrinology
beef50e5-907f-4d64-80db-defd901eb932,"What is the most likely diagnosis in a 17-year-old male presenting with pallor, fatigue, 11-pound weight loss, hemoglobin of 9, elevated bilirubin of 1.7, and LDH of 264 with an otherwise normal metabolic panel?",Oncology / Hematology
befebf10-8802-4670-9060-8364a13f56c0,What is the typical appearance of HSV skin lesions compared to mycosis fungoides?,Dermatology
bf576e31-2363-4e72-a792-9c1470294288,Management of pelvic inflammatory disease,OB / GYN
c0be7071-1914-44b6-8119-39756aa1b222,Does right bundle branch block render an ECG non-diagnostic for myocardial ischemia?,Cardiology
c1c5da1d-c36a-49da-b541-190aa546fbcf,What are the differences between tacrolimus and JAK inhibitors in the management of MDA-5 associated interstitial lung disease?,Rheumatology
c451e0b6-9a95-4a63-bf0c-debab8d541fc,What is the CLSI breakpoint MIC for levofloxacin against Achromobacter species?,Infectious Disease
c4df5941-fed0-4e4f-b8d6-3fd00b874c33,Which agent is better tolerated: sirolimus or methotrexate?,Rheumatology
c5e12e23-3b27-4150-a97b-ac43840d293f,"If a patient with a history of stroke shows regression of existing plaque but development of new ulceration at the same arterial site on follow-up CTA, does this finding require any change in management beyond continuing aspirin therapy?",Neurology
c8685308-18e5-4e05-a623-bbb69432b018,What are Nabothian follicles?,OB / GYN
c86e6411-330d-4f51-84bf-6f9ff967b729,What is the next step in managing persistently elevated lipid levels in a patient already on maximum-dose atorvastatin?,Cardiology
c9408057-7857-4467-b84c-886415cc707c,Should you adjust a patient's glargine insulin when they are made NPO?,Hospital-Based Medicine
c9f8bf8c-7960-4553-920c-696d7b88da0f,"Should we be concerned about continuing lithium in a patient with bipolar I disorder who was recently started on furosemide 40 mg for fluid retention, given that the lithium level is 0.8 and creatinine is currently normal, especially with an upcoming knee replacement surgery in a few days?",Psychiatry
cb0eb568-aec2-4434-acfc-274faf3b9c68,"Here is the rewritten question:

84 yo elderly woman presenting for follow-up of ongoing dizziness, fatigue, and cognitive complaints. Her past medical history is significant for MCA occlusion, lumbar spinal stenosis, HFpEF (grade 1), and obstructive sleep apnea, for which she was recently fitted with a CPAP device.

Her daughter is present and provides collateral history. She reports calling her mother earlier that morning, clearly waking her from sleep. The patient appeared mildly confused and slow to respond. She was told to rest and call back when fully awake. Around 10:30 a.m., the patient called back and among the first things she said was ""something feels off."" She described a sensation of pressure in her head. Her daughter noted an abnormal speech pattern, prompting an NIH stroke scale assessment of 8. Neuro-interventional was contacted and reviewed imaging that the daughter had transported over. On arrival, the patient was awake and alert but demonstrated a combination of dysarthric speech, stuttering, word-finding difficulties, and at one point fell completely silent with a blank stare. The daughter found the same speech disturbance upon arrival. The patient was holding the back of her head and describing a pressure sensation — she was emphatic that it was not a headache but rather a feeling of internal pressure building. She also reported dizziness. She has a prior history of head trauma and positional vertigo managed with Epley maneuvers in physical therapy. In the emergency department, with symptoms having largely resolved, she suddenly reported that her left eye ""didn't feel right."" Within approximately two minutes, she was observed on the stretcher moving erratically, trembling as if having rigors, and became non-verbal, though she did manage to say ""can't stop"" at one point. This episode occurred after an initial head CT showed no acute intracranial findings; a repeat CT was also negative.

She takes an antiseizure medication, Zonegran, which she reports was started after an unclear neurological episode a few years prior.

Last known well was approximately 9:00 p.m. the prior evening. Telestroke was consulted and recommended inpatient observation for MRI, permissive hypertension, and continuation of apixaban. Initial EKG suggested a possible junctional rhythm. Labs were unremarkable with two negative troponins. She received Antivert and Ofirmev following the witnessed motor episode. CTA head and neck demonstrated:
- No large vessel occlusion
- Diffuse intracranial arterial stenoses, likely atherosclerotic
- Calcified atherosclerotic plaque at the carotid bulbs/proximal ICAs without hemodynamically significant stenosis
- Patent bilateral vertebral arteries",Emergency Medicine
cb1ed4c8-db36-405f-bd08-d3997dbb4f49,"Is oral fluconazole contraindicated in pregnancy, and if yes, what is the preferred alternative treatment?",OB / GYN
cdfb211f-1283-4e0b-ac59-95e02134c8d5,Is KDIGO currently the most recent classification system used for chronic kidney disease in the pediatric population?,Nephrology
d10dc8d4-b911-4085-8da6-0baaf85be9f8,What is the appropriate treatment for C. difficile infection in a patient with end-stage renal disease on peritoneal dialysis?,Nephrology
d343c40f-953b-43f0-b6d6-122758eda331,Does an otherwise healthy patient with a superficial perirectal abscess and fever who has undergone adequate source control need continued antibiotic therapy following drainage?,Surgery
d4e918f5-20be-4b6e-b84c-79f90ba8305c,What is the procedure for performing a fungal skin culture?,Dermatology
d54b653a-cb82-446d-8b56-850d7c8f4716,What is the desired fasting insulin concentration?,Endocrinology
d82bf66f-37d1-4442-b3b8-447148b4b44c,What topical antifungal agent is most appropriate for treating candidal intertrigo in a skin fold that contains a chronic non-infected draining wound being managed by wound care?,Dermatology
d8db9dc5-effd-4776-9a8c-1a6a5c490ab5,What is the risk of developing cancer associated with cyclosporine use?,Transplantation
da4aa6c3-a1ea-4f7a-bb24-826a7f469464,What is the frequency with which duloxetine leads to hepatic cirrhosis?,Psychiatry
dc3106bf-b213-40a4-bf94-53219b484539,What are the most frequently examined procedural indications for musculoskeletal ultrasound?,Radiology
de9a9028-d1ae-4d49-8d62-4d75566539f1,What is the evaluation approach for chronic hoarseness?,Otolaryngology
df0a6bd4-a78d-4a85-96f0-d16006495e55,What are the indications for permanent pacemaker implantation in congenital complete heart block?,Cardiology
e0b70de8-607c-4d45-8d26-1232593d2f02,"What is the magnitude of the elevated dementia risk associated with gabapentin use, and how do dosage and patient age factor into this risk?",Neurology
e5e43dd9-5bb5-446d-bd7a-51c1d5b6ca73,"Pale mucosa, persistent dry cough, cobblestone appearance of the posterior pharynx, without fever, rhinorrhea, or sinus complaints. What is the appropriate management?",Family Medicine
eac7a738-fbad-4690-8d77-2c406d42e1e9,Which SSRI is considered most safe to use during pregnancy?,OB / GYN
eade6fe8-cff6-4435-9603-167196aa9bec,"What is the management when a patient suddenly develops a platelet count below 5,000/µL?",Oncology / Hematology
ebc1f639-9d78-4952-a0cb-f524aae0a8db,"What are the brand names, generic names, and dosages of medications used to treat overactive bladder (OAB)?",Urology
ed62079f-c3ea-4fd3-8715-c7b47a9bf695,"What is RIME, and can you provide a comprehensive overview including its common clinical presentations, appropriate diagnostic evaluation, and management approach?",Dermatology
ef3b0a79-41d9-4bd8-9ec3-ddd5846549bb,What are the most frequently used medications for intubation and their typical doses?,Anesthesiology
f6b9965e-a534-47d6-91d5-f4bf6f6b4e87,What is the management of erosive pustular dermatosis of the scalp?,Dermatology
fd9d6e48-710a-45c4-a8bc-be35c89ef707,What is the difference between enoxaparin and unfractionated heparin in the context of mast cell degranulation?,Allergy & Immunology
fe83b81a-c6ae-42bf-9409-856929a0fce9,"What imaging modality does the NCCN recommend for staging a patient with T2A, N0 non-small cell lung cancer to guide treatment decisions?",Oncology / Hematology
ffd0328e-8f67-4ea7-9c97-2ec6aeef20c6,What additional history or symptoms would help determine whether thyroid dysfunction has developed since the last normal labs 9 months ago?,Endocrinology
