question_id,split
36009db6-fa13-4300-8ec3-cfb1c3be5ecd,dev
36c7845a-ed31-49c3-8ec6-a338818db4d9,train
39ebbd5a-2034-40fb-89ed-31ea0df9d132,train
3ca513b6-dede-4c0a-be2b-8d190ea4a639,train
3f9081c4-cb6c-4ee7-a3f1-002cc1277450,test
41b1cbcd-4a7e-4d54-bb06-7b6cb6a7ec65,dev
4458569d-0a11-4196-9350-dc1de4e27565,train
4538103f-6bda-4be4-8e38-ee72351a88d4,train
45b205af-f8ef-4b71-97a6-683ffc049b39,train
4ab96e9f-3c17-4712-86b7-59ad06a81f8d,test
4b7cfc7e-dbff-4534-8dcf-83690d89498c,dev
4d220b84-8c52-455a-a3da-87f5ef5ba104,train
4d4532af-4457-4572-8f5b-ba755275aa8e,train
4fb7b9fe-7fdf-4828-9dea-97718c7bfbed,train
50bb83bb-57bc-4e7f-8b01-20d493290b2d,test
51c3dd76-6a6e-4e7c-ad9f-011f65a78957,dev
5560f33e-e26d-46f8-8538-7d90c66f8a69,train
5676841c-e084-45dd-a0f0-9bc018bf97ad,train
58a110a9-44d5-49c0-b073-522df3ec04d0,train
5aac9b27-26a0-43c1-a79f-d3dd9326f96f,test
642e9992-c245-4da6-831f-94793153a81c,dev
647eb9c0-27d0-49dd-abad-4a36b045b19d,train
68edcc22-362b-46bd-bdb0-fd6078567592,train
6950b9bc-3133-4226-b72b-3baf4945b409,train
6ce73442-794e-4a4b-832f-84ee05470941,test
6ead6fa5-2418-4170-bf16-55fce29c38f0,dev
730bc013-2f40-4090-9b88-257bed19b5fa,train
76ec2dc6-7747-4627-a15a-b7ac82970520,train
786b5335-a700-413a-bb8d-da6bc778f04f,train
78811f60-4f3d-46a5-883d-37e0d8de0350,test
79cfe10c-b7bf-4ca3-b165-fa4e3642795c,dev
7cf6f25a-5121-44fb-8700-e7f258e8af98,train
7d8d0deb-b36d-4799-8981-d52b14046880,train
8081744d-7dab-4ce1-b7ae-6988e7556e50,train
818e368b-9595-42e9-bf1c-6a41a74d3f47,test
8191019b-fa39-4b92-a868-febb885b9c7a,dev
8849edd2-b921-49e7-ad1f-b5224165f0a6,train
890aa5dc-8c0b-49d0-8b71-235b7952c466,train
8b83a841-253a-4d25-98ee-109ae07f5141,train
8cd4efb6-44cb-4c5b-96df-a9b26422daa9,test
8d64bde2-0d15-41e1-b4fc-bdd7cd2a2c9e,dev
8e7913d6-d335-4e68-a5c5-37fe0d15dde8,train
900ea1a4-a512-47a7-a06b-1906b0b25798,train
9156bbf1-ee52-4a99-9da5-de700f883b5c,train
953c79e2-48c9-47cc-a6a6-8eb6236c46d5,test
96d3c58d-c095-4a6b-bdfd-8427e6441bbc,dev
96d8a8cc-2e16-44df-a30a-24d358dc5af3,train
985c8362-cfee-4ecb-bbb7-76e1181e2052,train
9b1a4758-2998-48d4-8622-cd8eee6b8424,train
a1b4263c-ce32-4dd9-b527-546fae55dad5,test
a307ecd3-8b12-458f-9a46-d92d6d6dd77e,dev
a686b2b7-449b-4051-903f-95f354b8ee75,train
a8af8cf1-9aa3-4d34-b394-81c56de4f34f,train
abffccdc-6b6e-47c5-91ce-f6ea80cc3097,train
ac51f7e3-f29a-4058-8065-e8e0e555d655,test
ae46bee7-30c2-4bed-bbe5-007f54101465,dev
b1099d8e-8795-40a7-ac53-cfea4cba2eb7,train
b1feb93d-6c48-42fd-8108-f5d077787541,train
b4196982-9a4c-4de8-b2d6-58157ec49854,train
b42a274a-6131-4ade-aecb-63307cb24ad7,test
b58d359e-6bda-41de-aa65-b912804491ad,dev
b8490878-7890-4935-b29d-7bb0e83703b7,train
b8e77a45-ea26-4c57-b156-b33a28d93878,train
b9fe2253-4f5c-4891-99af-2020bd6a7220,train
ba5ee80f-e041-45fc-ad96-062c55f1be58,test
bd4bb448-0e7f-40a6-a90e-fc4134010942,dev
be663bf0-f714-4935-a3e1-3aa4db45450a,train
beac65ee-72dd-4271-b9a0-62f8eeb465ca,train
beef50e5-907f-4d64-80db-defd901eb932,train
befebf10-8802-4670-9060-8364a13f56c0,test
bf576e31-2363-4e72-a792-9c1470294288,dev
c0be7071-1914-44b6-8119-39756aa1b222,train
c1c5da1d-c36a-49da-b541-190aa546fbcf,train
c451e0b6-9a95-4a63-bf0c-debab8d541fc,train
c4df5941-fed0-4e4f-b8d6-3fd00b874c33,test
c5e12e23-3b27-4150-a97b-ac43840d293f,dev
c8685308-18e5-4e05-a623-bbb69432b018,train
c86e6411-330d-4f51-84bf-6f9ff967b729,train
c9408057-7857-4467-b84c-886415cc707c,train
c9f8bf8c-7960-4553-920c-696d7b88da0f,test
cb0eb568-aec2-4434-acfc-274faf3b9c68,dev
cb1ed4c8-db36-405f-bd08-d3997dbb4f49,train
cdfb211f-1283-4e0b-ac59-95e02134c8d5,train
d10dc8d4-b911-4085-8da6-0baaf85be9f8,train
d343c40f-953b-43f0-b6d6-122758eda331,test
d4e918f5-20be-4b6e-b84c-79f90ba8305c,dev
d54b653a-cb82-446d-8b56-850d7c8f4716,train
d82bf66f-37d1-4442-b3b8-447148b4b44c,train
d8db9dc5-effd-4776-9a8c-1a6a5c490ab5,train
da4aa6c3-a1ea-4f7a-bb24-826a7f469464,test
dc3106bf-b213-40a4-bf94-53219b484539,dev
de9a9028-d1ae-4d49-8d62-4d75566539f1,train
df0a6bd4-a78d-4a85-96f0-d16006495e55,train
e0b70de8-607c-4d45-8d26-1232593d2f02,train
e5e43dd9-5bb5-446d-bd7a-51c1d5b6ca73,test
eac7a738-fbad-4690-8d77-2c406d42e1e9,dev
eade6fe8-cff6-4435-9603-167196aa9bec,train
ebc1f639-9d78-4952-a0cb-f524aae0a8db,train
ed62079f-c3ea-4fd3-8715-c7b47a9bf695,train
ef3b0a79-41d9-4bd8-9ec3-ddd5846549bb,test
f6b9965e-a534-47d6-91d5-f4bf6f6b4e87,dev
fd9d6e48-710a-45c4-a8bc-be35c89ef707,train
fe83b81a-c6ae-42bf-9409-856929a0fce9,train
ffd0328e-8f67-4ea7-9c97-2ec6aeef20c6,train
